,Id,Date,Text,State
414478,938790291405967360,2017-12-07,"['bls', 'darkest', 'days', 'prayers', 'rain', 'stop', 'hellish']",Michigan
414802,938789316771307520,2017-12-07,"['minute', 'crews', 'leave', 'provo', 'rendezvous', 'central', 'southern', 'utah', 'firefighters', 'way', 'help', 'fight', 'acres', 'gdu']",Utah
415006,938788708328845312,2017-12-07,['insaneeee'],Louisiana
415789,938786353885728769,2017-12-07,"['flare', 'across', 'america', 'usa', 'southern']",California
416165,938785014971600899,2017-12-07,"['could', 'transport', 'pennsylvania', 'ave', 'would', 'pretty', 'dope', 'ya', 'know']",Ohio
416330,938784387033903105,2017-12-07,"['proactively', 'prevent', 'spread', 'tree', 'huggers', 'way', 'taking', 'necessary', 'action']",Florida
416890,938782011711307776,2017-12-07,"['californiawildfires', 'typical', 'morning', 'commute', 'available', 'firefighters', 'national', 'forests', 'across', 'working', 'southern', 'photos', 'thomasfire', 'creekfire', 'skirballfire', 'ryefire', 'updates']",California
417087,938781289494102018,2017-12-07,"['saw', 'lot', 'people', 'saying', 'texas', 'deserved', 'hurricanes', 'voted', 'potus', 'whats']",Idaho
417387,938780004384731136,2017-12-07,"['update', 'total', 'local', 'redcross', 'volunteers', 'deployed', 'help', 'w', 'southern', 'scnews', 'chsnews']",South Carolina
417775,938778467616747520,2017-12-07,"['praying', 'firefighters', 'courageously', 'battling', 'la', 'county', 'ventura', 'county', 'plus', 'several', 'states', 'sent', 'firefighters', 'help']",California
417913,938777959044825093,2017-12-07,"['bunny', 'hero']",California
418346,938776269277163521,2017-12-07,"['homes', 'lost', 'ojai', 'today', 'seen', 'north', 'rice', 'rd', 'thomasfire']",California
418966,938773944412209152,2017-12-07,"['maybe', 'watching', 'footage', 'put', 'feels', 'maybe', 'im', 'projecting']",Colorado
419380,938772445820891137,2017-12-07,"['president', 'trump', 'care', 'anything', 'destruction', 'suffering', 'busy', 'creating', 'distractions', 'muellers', 'investigation', 'donaldtrump', 'russiacollusion']",Arizona
419770,938770719982473216,2017-12-07,"['december', 'th', 'ss', 'gaining', 'background', 'knowledge', 'fronts', 'today', 'also', 'watched', 'news', 'clips', 'winter', 'weather', 'coming', 'way', 'tomorrow', 'local', 'winds', 'playing', 'part', 'spreading', 'scie', 'daystwitter', 'drivefwd']",North Carolina
419890,938770192825442304,2017-12-07,"['making', 'list', 'weeks', 'installment', 'minute', 'thursday', 'mhs', 'renaissance', 'thoughts', 'prayers', 'going', 'victims', 'southern']",California
420201,938768768074993664,2017-12-07,"['born', 'raised', 'continue', 'blaze', 'southern', 'fresh', 'hitting', 'los', 'angeles', 'neighborhood', 'belair', 'burning', 'edge', 'forcing', 'nations', 'busiest', 'highway', 'close', 'rush', 'hour']",Louisiana
420270,938768478714003457,2017-12-07,"['apparently', 'important', 'enough', 'wh', 'comment', 'notpresidential', 'wedeservebetter', 'inthistogether']",California
420669,938766790548738048,2017-12-07,"['prayers', 'victims', 'savage', 'today', 'rough', 'day', 'mph', 'winds']",South Carolina
421405,938763444597198848,2017-12-07,"['track', 'key', 'details', 'southern']",Kentucky
421670,938762595619794944,2017-12-07,"['funny', 'try', 'comparing', 'huge', 'year', 'huge', 'suburban', 'rained', 'fireballs', 'houses', 'blocks', 'away', 'ongoing', 'dcfs', 'crisis', 'kansas', 'wonder', 'whats', 'happening', 'rest', 'country']",Indiana
421833,938761980764151808,2017-12-07,"['prayers', 'absolutely', 'heartbreaking', 'think', 'wild', 'animals', 'trying', 'survive', 'homes', 'many', 'families', 'reside', 'beatiful', 'nature', 'around', 'destroyed', 'absolutely', 'devastating']",Texas
423283,938755173081591808,2017-12-07,"['good', 'morning', 'californiafires', 'prayers', 'heart', 'goes', 'devastated', 'effected', 'praying', 'everyones', 'safety', 'since', 'sunday', 'taken', 'est', 'well', 'snowing', 'tm']",Maine
423433,938754433550376961,2017-12-07,"['nations', 'leader', 'climate', 'resistance', 'getting', 'pummeled', 'global', 'warming', 'actonclimate']",Pennsylvania
424790,938748241553887232,2017-12-07,"['prayers', 'go', 'everyone', 'near', 'evacuated', 'cannot', 'even', 'imagine', 'difficult', 'yall', 'stay', 'safe', 'much', 'love', 'ck', 'lafires', 'staysafela']",Michigan
