Id,Date,Text,State
880505604925562880,2017-06-29,RT @LANow: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
880505293154603008,2017-06-29,RT @LANow: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
880504908214136833,2017-06-29,LATIMES: Southern California is blanketed by the smell of wildfires; here's the latest- LA Times  #cybersecurity https://t.co/CqBtUkRWm2 https://t.co/nUM6TubiHW,
880504248504639491,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest https://t.co/WzPTBova1d,
880503917666156544,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/dmMowohhDb https://t.co/Iq2pAmLyJX,
880502997792444416,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest https://t.co/yXPxY02uQy @JosephSerna,
880502964204568576,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/yY7o9lIgVc,
880502272064593920,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
880502000047312896,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/UM9pZY7cE6,
880501982921867264,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/PnSJql0YSk https://t.co/8uUQ5zbK9o,
880501974642249728,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/xqyMzaU0AN via @latimes,
880501974143188992,2017-06-29,Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/o3Uwy62CPe,
880501971311927296,2017-06-29,Via @LATimes✔️ Southern California is blanketed by the smell of wildfires;… https://t.co/TFAlHkeFiP CC #LosAngeles #SanFrancisco #SanDiego,
880501255935860737,2017-06-29,"RT @Amica: #Wildfire season is here, with more than 20 fires being reported by @weatherchannel. For more info, visit: https://t.co/WSn0G5fn…",
880501234632990720,2017-06-29,#USA #LAT  broadast by #EMET_NEWS_PRESS: Southern California is blanketed by the smell of wildfires; here's the... https://t.co/wejnvi61LB,
880499110545149952,2017-06-29,"#Wildfire season is here, with more than 20 fires being reported by @weatherchannel. For more info, visit: https://t.co/WSn0G5fnw2. https://t.co/ly5RqEwGj2",
880497834100916224,2017-06-29,West On Fire: Dozens of Large Fires Torching Thousands of Acres @weatherchannel https://t.co/JaEXoxdffa,
880497703909818368,2017-06-29,"West On Fire: More Than 20 Wildfires Blazing In Utah, Arizona, Calfornia https://t.co/u42P2vRcsj",
880494736200658945,2017-06-29,"RT @wunderground: West On #Fire: Dozens of Large Fires Cause Damage, Prompt Evacuations https://t.co/r2sqFc2oYS https://t.co/MqKRFQ5bhD",
880492913158959104,2017-06-29,"RT @yahoophoto: PHOTOS: Wildfires in Arizona, California, Utah force hundreds from their homes ~ https://t.co/iGMHIsHZkb #firefighters #bla…",
880489853212737536,2017-06-29,"Wildfires in Arizona, California, Utah force hundreds from their homes https://t.co/EGsqrcQt41",
880486622562721793,2017-06-29,"https://t.co/RtT4spzZ3s When I heard ""BBQing"" was a #4thofJuly tradition, I didn't exactly have this in mind..........",
880480774658564096,2017-06-29,Residents leave homes as wildfires sweep through US West https://t.co/gBCMID5HOe #California #Arizona,
880479041018572800,2017-06-29,West On Fire: Dozens of Large Fires Torching Thousands of Acres @weatherchannel https://t.co/FkQaU1aRAI,
