OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length
21585,2020,CA,CDF,FKU,TAR,12129,2020/08/13 00:00:00+00,2020/08/18 00:00:00+00,1,,20.48829,20.48829079,1,1,,126743.3566,1688.988884
21586,2020,CA,CDF,AEU,MURPHY FIRE,24956,2020/08/17 00:00:00+00,2020/08/17 00:00:00+00,11,,14,13.25111961,1,1,,88455.0044,1534.422293
21587,2020,CA,CDF,AEU,COPPER FIRE,29600,2020/09/30 00:00:00+00,2020/09/30 00:00:00+00,3,,47,46.58346176,1,1,,308142.898,3134.084533
21588,2020,CA,CDF,AEU,CAMERON FIRE,31579,2020/10/18 00:00:00+00,2020/10/18 00:00:00+00,10,,15,14.42601013,1,1,,95882.9711,2402.690167
21589,2020,CA,CDF,AEU,LIBERTY FIRE,17224,2020/06/17 00:00:00+00,2020/06/17 00:00:00+00,5,,88.9,88.69252014,1,1,,582786.9949,6146.408183
21590,2020,CA,CDF,AEU,LAMBERT FIRE,30112,2020/10/04 00:00:00+00,2020/10/04 00:00:00+00,9,,22,21.81627083,1,1,,144216.9361,1873.866967
21591,2020,CA,CDF,BEU,CROSS,4975,2020/10/07 00:00:00+00,2020/10/07 00:00:00+00,2,"Grass fire
",25,24.49596977,1,1,,151625.8548,2109.645491
21592,2020,CA,CDF,BEU,BROWN,4730,2020/09/22 00:00:00+00,2020/09/23 00:00:00+00,11,"Grass fire
",18,18.35330009,1,1,,116118.1537,1399.693051
21593,2020,CA,CDF,BEU,BOOMER,3228,2020/07/04 00:00:00+00,2020/07/05 00:00:00+00,14,"Brush or brush-and-grass mixture fire
",15,10.92988968,1,1,,69080.48605,1436.730064
21594,2020,CA,CDF,BEU,BRADLEY,2699,2020/06/08 00:00:00+00,2020/06/09 00:00:00+00,2,"Grass fire
",230,230.3547974,1,1,,1424371.092,5835.150037
